pfam_number	Name	Description	Long_description	enzyme_annotation
PF11855	DUF3375	Protein of unknown function (DUF3375)	This family of proteins are functionally uncharacterised. This protein is found in bacteria. Proteins in this family are typically between 479 to 499 amino acids in length.	u
PF11865	DUF3385	Domain of unknown function (DUF3385)	This domain is functionally uncharacterised. This domain is found in eukaryotes.  This presumed domain is typically between 160 to 172 amino acids in length.  This domain is found associated with Pfam:PF00454, Pfam:PF02260, Pfam:PF02985, Pfam:PF02259 and Pfam:PF08771.	u
PF11899	DUF3419	Protein of unknown function (DUF3419)	This family of proteins are functionally uncharacterised. This protein is found in bacteria and eukaryotes. Proteins in this family are typically between 398 to 802 amino acids in length.	u
PF11901	DUF3421	Protein of unknown function (DUF3421)	This family of proteins are functionally uncharacterised. This protein is found in bacteria and eukaryotes. Proteins in this family are typically between 119 to 296 amino acids in length.	u
PF11927	DUF3445	Protein of unknown function (DUF3445)	This family of proteins are functionally uncharacterised. This protein is found in bacteria and eukaryotes. Proteins in this family are typically between 264 to 418 amino acids in length. This protein has a conserved RLP sequence motif. This protein has two completely conserved R residues that may be functionally important.	u
PF11940	DUF3458	Domain of unknown function (DUF3458) Ig-like fold	This presumed domain is functionally uncharacterised. This domain is found in bacteria, archaea and eukaryotes. The domain has an Ig-like fold. This domain is found associated with Pfam:PF01433. 	u
PF11984	DUF3485	Protein of unknown function (DUF3485)	This family of proteins is functionally uncharacterised. This protein is found in bacteria. Proteins in this family are typically between 223 to 526 amino acids in length. This protein is found associated with Pfam:PF09721.	u
PF11991	Trp_DMAT	Tryptophan dimethylallyltransferase	This family of proteins represents tryptophan dimethylallyltransferase (EC:2.5.1.34), which catalyses the first step of ergot alkaloid biosynthesis [1]. Ergot alkaloids, which are produced by endophyte fungi, can enhance plant host fitness, but also cause livestock toxicosis to host plants. This protein is found in bacteria and eukaryotes. Proteins in this family are typically between 390 to 465 amino acids in length.	y
PF12006	DUF3500	Protein of unknown function (DUF3500)	This family of proteins is functionally uncharacterised. This protein is found in bacteria and eukaryotes. Proteins in this family are typically between 335 to 438 amino acids in length. This protein has a conserved GHH sequence motif. This protein has two completely conserved G residues that may be functionally important.	u
PF12013	OrsD	Orsellinic acid/F9775 biosynthesis cluster protein D	This family of proteins is functionally uncharacterised. This protein is found in eukaryotes. Proteins in this family are typically between 247 to 1018 amino acids in length. Family members include orsellinic acid/F9775 biosynthesis cluster protein D (orsD) from Emericella nidulans. The orsD gene is part of the cluster that encodes components for the biosynthesis of orsellinic acid, as well as biosynthesis of the cathepsin K inhibitors F9775 A and F9775 B [1] [2], but the function of orsD is unknown. OrsD contains two segments that are likely to be C2H2 zinc binding domains.	y
PF12040	DUF3526	Domain of unknown function (DUF3526)	This presumed domain is functionally uncharacterised. This domain is found in bacteria. This domain is typically between 149 to 170 amino acids in length. This domain has a single completely conserved residue P that may be functionally important.	u
PF12051	DUF3533	Protein of unknown function (DUF3533)	This family of transmembrane proteins is functionally uncharacterised. This protein is found in bacteria and eukaryotes. Proteins in this family are typically between 393 to 772 amino acids in length.	u
PF12065	DUF3545	Protein of unknown function (DUF3545)	This family of proteins is functionally uncharacterised. This protein is found in bacteria. Proteins in this family are typically between 60 to 77 amino acids in length. This protein has two completely conserved residues (R and L) that may be functionally important.	u
PF12083	DUF3560	Domain of unknown function (DUF3560)	This presumed domain is functionally uncharacterised. This domain is found in bacteria. This domain is about 120 amino acids in length. This domain has a conserved GHHSE sequence motif.	u
PF12102	DUF3578	Domain of unknown function (DUF3578)	This presumed domain is functionally uncharacterised. This domain is found in bacteria and archaea. This domain is typically between 177 to 191 amino acids in length.	u
PF12139	APS-reductase_C	Adenosine-5'-phosphosulfate reductase beta subunit	This family of proteins is found in bacteria and archaea. Proteins in this family are typically between 112 to 142 amino acids in length. This family is found in association with Pfam:PF00037, and has a conserved FPIRTT sequence motif. The whole beta subunit has the enzymic properties of EC:1.8.99.2.	y
PF12146	Hydrolase_4	Serine aminopeptidase, S33	This domain is found in bacteria and eukaryotes and is approximately 110 amino acids in length. It is found in association with Pfam:PF00561. The majority of the members in this family carry the exopeptidase active-site residues of Ser-122, Asp-239 and His-269 as in UniProtKB:Q7ZWC2.	m
PF12172	DUF35_N	Rubredoxin-like zinc ribbon domain (DUF35_N)	This domain has no known function and is found in conserved hypothetical archaeal and bacterial proteins.  The domain is duplicated in Swiss:O53566.  The structure of a DUF35 representative reveals two long N-terminal helices followed by a rubredoxin-like zinc ribbon domain represented in this family and a C-terminal OB fold domain. Zinc is chelated by the four conserved cysteines in the alignment.	y
PF12176	MtaB	Methanol-cobalamin methyltransferase B subunit	This family of proteins is found in bacteria and archaea. Proteins in this family are approximately 460 amino acids in length. MtaB folds as a TIM barrel and contains a novel zinc-binding motif. Zinc(II) lies at the bottom of a funnel formed at the C-terminal beta-barrel end and ligates to two cysteinyl sulfurs (Cys-220 and Cys-269) and one carboxylate oxygen (Glu-164). The function of this protein is to catalyse the cleavage of the C O bond in methanol by an SN2 mechanism. It complexes with MtaA and MtaC to perform this function.	y
PF12215	Glyco_hydr_116N	beta-glucosidase 2, glycosyl-hydrolase family 116 N-term	This domain is found in bacteria, archaea and eukaryotes. This domain is typically between 320 to 354 amino acids in length. This domain is found associated with Pfam:PF04685. It is found just after the extreme N terminus. The N-terminal is thought to be the luminal domain while the C terminal is the cytosolic domain. The catalytic domain of GBA-2 is unknown. The primary catabolic pathway for glucosylceramide is catalysis by the lysosomal enzyme glucocerebrosidase. In higher eukaryotes, glucosylceramide is the precursor of glycosphingolipids, a complex group of ubiquitous membrane lipids [1]. Mutations in the human protein cause motor-neurone defects in hereditary spastic paraplegia [2,3]. The catalytic nucleophile, identified in UniProtKB:Q97YG8_SULSO, is a glutamine-335 in the downstream family Pfam:PF04685 [4].	s
PF12217	End_beta_propel	Catalytic beta propeller domain of bacteriophage endosialidase	This domain family is found in bacteria and viruses, and is typically between 443 and 460 amino acids in length. This domain is the highly conserved beta propeller of bacteriophage endosialidase which represents the catalytically active part of the enzymes. This core domain forms stable SDS-resistant trimers. There is a nested beta barrel domain in this domain (Pfam:PF12195). The endosialidase protein complexes to form a homotrimeric molecule.	s
PF12222	PNGaseA	Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A	This family of proteins is found in bacteria, archaea and eukaryotes.  Proteins in this family are typically between 558 and 775 amino acids in length. There is a conserved TGG sequence motif. PNGase A is a protein which cleaves glycopeptides.	m
PF12241	Enoyl_reductase	Trans-2-enoyl-CoA reductase catalytic region	This family of trans-2-enoyl-CoA reductases, EC:1.3.1.44, carries the the catalytic sites of the enzyme, characterised by the conserved sequence motifs: YNThhhFxK, and YShAPxR. In Euglena where the enzyme has been characterised it catalyses the reduction of enoyl-CoA to acyl-CoA in an unusual fatty acid pathway in mitochondria. the whole path performs a malonyl-CoA independent synthesis of fatty acids leading to accumulation of wax esters, which serve as the sink for electrons stemming from glycolytic ATP synthesis and pyruvate oxidation.	y
PF12243	CTK3	CTD kinase subunit gamma CTK3	The C-terminal domain kinase (CTDK-1), is a three-subunit complex comprised of Ctk1, Ctk2, and Ctk3, that plays a key role in regulation of transcription and translation and in coordinating these two processes. Both Ctk2 and Ctk3 are regulated at the level of protein turnover, and are unstable proteins processed through a ubiquitin-proteasome pathway. Their physical interaction is required to protect both subunits from degradation, and both Ctk2 and Ctk3 are required for Ctk1 CTD kinase activation [1]. The mammalian P-TEFb is mirrored by the combined complexes in yeast of the CTDK1 and the Bur1/2 [2].	m
PF12248	Methyltransf_FA	Farnesoic acid 0-methyl transferase	This domain family is found in bacteria and eukaryotes, and is approximately 110 amino acids in length.Farnesoic acid O-methyl transferase (FAMeT) is the enzyme that catalyses the formation of methyl farnesoate (MF) from farnesoic acid (FA) in the biosynthetic pathway of juvenile hormone (JH).	y
PF12249	AftA_C	Arabinofuranosyltransferase A C terminal	This domain family is found in bacteria, and is typically between 179 and 190 amino acids in length. This family is the C terminal region of AftA. The enzyme catalyses the addition of the first key arabinofuranosyl residue from the sugar donor beta-D-arabinofuranosyl-1-monophosphoryldecaprenol to the galactan domain of the cell wall, thus priming the galactan for further elaboration by the arabinofuranosyltransferases. The C terminal region is predicted to be directed towards the periplasm.	y
PF12275	DUF3616	Protein of unknown function (DUF3616)	This family of proteins is found in bacteria. Proteins in this family are typically between 335 and 392 amino acids in length. There is a conserved GLRGPV sequence motif.	u
PF12277	DUF3618	Protein of unknown function (DUF3618)	This domain family is found in bacteria, and is approximately 50 amino acids in length.	u
PF12311	DUF3632	Protein of unknown function (DUF3632)	This domain family is found in eukaryotes, and is approximately 170 amino acids in length. There is a conserved ALE sequence motif.	u
PF12318	FAD-SLDH	Membrane bound FAD containing D-sorbitol dehydrogenase 	This family of proteins is found in bacteria. Proteins in this family are typically between 168 and 189 amino acids in length. There is a conserved ALM sequence motif. This family is a membrane protein (FAD-SLDH) involved in oxidation of D-sorbitol to L-sorbose.	y
PF12367	PFO_beta_C	Pyruvate ferredoxin oxidoreductase beta subunit C terminal	This domain family is found in bacteria and archaea, and is approximately 70 amino acids in length. The family is found in association with Pfam:PF02775. There are two completely conserved residues (A and G) that may be functionally important. PFO is involved in carbon dioxide fixation via a reductive TCA cycle. It forms a heterodimer (alpha/beta). The beta subunit has binding motifs for Fe-S clusters and thiamine pyrophosphate.	y
PF12379	DUF3655	Protein of unknown function (DUF3655) 	This domain family is found in viruses, and is approximately 70 amino acids in length. The family is found in association with Pfam:PF08716, Pfam:PF01661, Pfam:PF05409, Pfam:PF06471, Pfam:PF08717, Pfam:PF06478, Pfam:PF09401, Pfam:PF06460, Pfam:PF08715, Pfam:PF08710.	u
PF12385	Peptidase_C70	Papain-like cysteine protease AvrRpt2	This is a family of cysteine proteases, found in actinobacteria, protobacteria and firmicutes. Papain-like cysteine proteases play a crucial role in plant-pathogen/pest interactions. On entering the host they act on non-self substrates, thereby manipulating the host to evade proteolysis [2]. AvrRpt2 from Pseudomonas syringae pv. tomato DC3000 triggers resistance to P. syringae-2-dependent defence responses, including hypersensitive cell death, by cleaving the Arabidopsis RIN4 protein which is monitored by the cognate resistance protein RPS2 [1].	m
PF12388	Peptidase_M57	Dual-action HEIGH metallo-peptidase	The catalytic triad for this family of proteases is HE-H-H, which in many members is in the sequence motif HEIGH.	m
PF12419	DUF3670	SNF2 Helicase protein 	This domain family is found in bacteria, archaea and eukaryotes, and is approximately 140 amino acids in length. The family is found in association with Pfam:PF00271, Pfam:PF00176. Most of the proteins in this family are annotated as SNF2 helicases but there is little accompanying literature to confirm this.	m
PF12456	hSac2	Inositol phosphatase 	This domain family is found in eukaryotes, and is approximately 120 amino acids in length. The family is found in association with Pfam:PF02383. hSac2 functions as an inositol polyphosphate 5-phosphatase.	y
PF12463	DUF3689	Protein of unknown function (DUF3689) 	This family of proteins is found in eukaryotes. Proteins in this family are typically between 399 and 797 amino acids in length.	u
PF12464	Mac	Maltose acetyltransferase 	This domain family is found in bacteria, archaea and eukaryotes, and is approximately 50 amino acids in length. The family is found in association with Pfam:PF00132. Mac uses acetyl-CoA as acetyl donor to acetylated cytoplasmic maltose.	y
PF12483	GIDE	E3 Ubiquitin ligase	This domain family is found in bacteria, archaea and eukaryotes, and is typically between 150 and 163 amino acids in length. There is a single completely conserved residue E that may be functionally important. GIDE is an E3 ubiquitin ligase which is involved in inducing apoptosis.	m
PF12502	DUF3710	Protein of unknown function (DUF3710) 	This family of proteins is found in bacteria. Proteins in this family are typically between 237 and 284 amino acids in length. There are two conserved sequence motifs: DLG and DGPRW.	u
PF12578	3-PAP	Myotubularin-associated protein	This domain family is found in eukaryotes, and is typically between 115 and 138 amino acids in length. Myotubularin is a dual-specific phosphatase that dephosphorylates phosphatidylinositol 3-phosphate and phosphatidylinositol (3,5)-bisphosphate. 3-PAP is a catalytically inactive member of the myotubularin gene family, which coprecipitates lipid phosphatidylinositol 3-phosphate-3-phosphatase activity from lysates of human platelets.	y
PF12643	MazG-like	MazG-like family	This family of short proteins are distantly related to the MazG enzyme. This suggests that these proteins are enzymes that catalyse a related reaction.	y
PF12671	Amidase_6	Putative amidase domain		y
PF12680	SnoaL_2	SnoaL-like domain	This family contains a large number of proteins that share the SnoaL fold.	u
PF12681	Glyoxalase_2	Glyoxalase-like domain	This domain is related to the Glyoxalase domain Pfam:PF00903.	y
PF12695	Abhydrolase_5	Alpha/beta hydrolase family	This family contains a diverse range of alpha/beta hydrolase enzymes.	y
PF12697	Abhydrolase_6	Alpha/beta hydrolase family	This family contains alpha/beta hydrolase enzymes of diverse specificity.	y
PF12706	Lactamase_B_2	Beta-lactamase superfamily domain	This family is part of the beta-lactamase superfamily and is related to Pfam:PF00753.	y
PF12708	Pectate_lyase_3	Pectate lyase superfamily protein	This family of proteins possesses a beta helical structure like Pectate lyase.  This family is most closely related to glycosyl hydrolase family 28.	s
PF12740	Chlorophyllase2	Chlorophyllase enzyme	This family consists of several chlorophyllase and chlorophyllase-2 (EC:3.1.1.14) enzymes. Chlorophyllase (Chlase) is the first enzyme involved in chlorophyll (Chl) degradation and catalyses the hydrolysis of an ester bond to yield chlorophyllide and phytol [1]. The family includes both plant and Amphioxus members.	y
PF12746	GNAT_acetyltran	GNAT acetyltransferase	Many of the members are annotated s being Zwittermicin A resistance proteins, whereas others are listed as being GNAT acetyltransferases.  The family has similarities to the GNAT acetyltransferase family.	y
PF12762	DDE_Tnp_IS1595	ISXO2-like transposase domain	This domain probably functions as an integrase that is found in a wide variety of transposases, including ISXO2.	m
PF12766	Pyridox_oxase_2	Pyridoxamine 5'-phosphate oxidase	Pyridoxamine 5'-phosphate oxidase catalyses the oxidation of pyridoxamine-5-P (PMP) and pyridoxine-5-P (PNP) to pyridoxal-5-P (PLP), the terminal step in the de novo biosynthesis of PLP in Escherichia coli and part of the salvage pathway of this coenzyme in both E. coli and mammalian cells. This region is the flavoprotein FMN-binding domain.	y
PF12770	CHAT	CHAT domain	These proteins appear to be related to peptidases in peptidase clan CD that includes the caspases. This domain has been termed the CHAT domain for Caspase HetF Associated with Tprs. This family has been identified as a sister group to the separins [1].	m
PF12774	AAA_6	Hydrolytic ATP binding site of dynein motor region	This domain is found in human cytoplasmic dynein-2 proteins. Cytoplasmic dynein-2 (dynein-2) performs intraflagellar transport and is associated with human skeletal ciliopathies. Dyneins share a conserved motor domain that couples cycles of ATP hydrolysis with conformational changes to produce movement. Structural analysis reveal that the motor's ring consists of six AAA+ domains (ATPases associated with various cellular activities: AAA1-AAA6) [1]. This is the first site (out of four nucleotide binding sites in the dynein motor) where the movement depends on ATP hydrolysis [2]. When this site is nucleotide free or bound to ADP, the microtubule binding domain (MTBD) binds to the microtubule and the linker adopts the straight post-power-stroke conformation. Upon ATP binding and hydrolysis, the MTBD detaches from the microtubule and the linker is primed into the pre-power-stroke conformation. Dynein's AAA+ domains are each divided into an alpha/beta large subdomain designated with an L and and alpha small subdomains designated with an S. This is the AAA1 large (AAA1L) subdomain with the accompanying small subdomain (AAA1S). AAA1L, AAA1S and AAA2L enclose ADP.vanadate (ADP.Vi, ATP-hydrolysis transition state analogue). The AAA1L sensor-I loop, which varies in position depending on dynein's nucleotide state, swings in to contact AAA2L forming the important AAA1 nucleotide-binding site [1].	m
PF12801	Fer4_5	4Fe-4S binding domain	Superfamily includes proteins containing  domains which bind to iron-sulfur clusters. Members  include bacterial ferredoxins, various dehydrogenases, and various reductases.  Structure of the domain is an alpha-antiparallel beta sandwich.	u
PF12804	NTP_transf_3	MobA-like NTP transferase domain	This family includes the MobA protein (Molybdopterin-guanine dinucleotide biosynthesis protein A). The family also includes a wide range of other NTP transferase domain.	y
PF12850	Metallophos_2	Calcineurin-like phosphoesterase superfamily domain	Members of this family are part of the Calcineurin-like phosphoesterase superfamily.	y
PF12851	Tet_JBP	Oxygenase domain of the 2OGFeDO superfamily 	A double-stranded beta helix (DSBH) fold domain of the 2-oxoglutarate (2OG)-Fe(II)-dependent dioxygenase (2OGFeDO) superfamily found in  various eukaryotes, bacteria and bacteriophages [1]. Members of this  family catalyze nucleic acid modifications, such as thymidine hydroxylation during base J synthesis in kinetoplastids [2], and the conversion of 5 methyl-cytosine (5-mC) to 5-hydroxymethyl-cytosine  (hmC) [3], or further oxidation to 5-formylcytosine (5fC) and  5-carboxylcytosine (5caC) [4]. Metazoan TET proteins contain a  cysteine-rich region inserted into the core of the DSBH fold.  Vertebrate TET proteins are oncogenes that are mutated in various  myeloid cancers [5]. Fungal and algal versions of this family are  linked to a predicted transposase and show lineage-specific  expansions [1].	y
PF12852	Cupin_6	Cupin	This is a family of bacterial and eukaryotic proteins that belong to the Cupin superfamily.  Some of the proteins in this family are annotated as being members of the AraC family of transcription factors, in which case this domain corresponds to the ligand binding domain.	y
PF12856	ANAPC9	Anaphase-promoting complex subunit 9	Apc9 is one of the subunits of the anaphase-promoting complex, or cyclosome [1], which is essential for regulating entry into anaphase and exit from mitosis. The APC is a ubiquitin-protein ligase complex. All APC subunits are members of the cullin family proteins, which bind to a ring-finger subunit via a conserved cullin domain [2]. The APC is made up of four parts, the third of which is a tetratricopeptide repeat arm (TPR) that contains Apc9 [3].	m
PF12859	ANAPC1	Anaphase-promoting complex subunit 1	Apc1 is the largest of the subunits of the anaphase-promoting complex or cyclosome. The anaphase-promoting complex is a multiprotein subunit E3 ubiquitin ligase complex that controls segregation of chromosomes and exit from mitosis in eukaryotes [1,2]. Infection of human fibroblasts with human cytomegalovirus (HCMV) leads to cell cycle dysregulation, which is associated with the inactivation of the anaphase-promoting complex [3].	m
PF12862	ANAPC5	Anaphase-promoting complex subunit 5	Apc5 is a subunit of the anaphase-promoting complex/cyclosome (APC/C) which is a multi-subunit ubiquitin ligase that mediates the proteolysis of cell cycle proteins in mitosis and G1.  Apc5, although it does not harbour a classical RNA binding domain, Apc5 binds the poly(A) binding protein (PABP), which directly binds the internal ribosome entry site (IRES) of growth factor 2 mRNA. PABP was found to enhance IRES-mediated translation, whereas Apc5 over-expression counteracted this effect. In addition to its association with the APC/C complex, Apc5 binds much heavier complexes and co-sediments with the ribosomal fraction [1,2]. The N-terminus of Afi1 serves to stabilise the union between Apc4 and Apc5, both of which lie towards the bottom-front of the APC [3]. This region of the Apc5 member proteins carries a TPR-like motif.	m
PF12891	Glyco_hydro_44	Glycoside hydrolase family 44	This is a family of bacterial glycoside hydrolases formerly known as cellulase family J, and now known as Cel44A. It is one of the major enzymatic components of the cellulosome of Clostridium thermocellum strain F1 and of many other Firmicutes.	s
PF12897	Aminotran_MocR	Alanine-glyoxylate amino-transferase	These proteins catalyse the reversible transfer of an amino group from the amino acid substrate to an acceptor alpha-keto acid [1]. They require pyridoxal 5'-phosphate (PLP) as a cofactor to catalyse this reaction. Trans-amination reactions are of central importance in amino acid metabolism and in links to carbohydrate and fat metabolism. This class of aminotransferases acts as dimers in a head-to-tail configuration [2].	y
PF12899	Glyco_hydro_100	Alkaline and neutral invertase	This is a family of bacterial and plant alkaline and neutral invertases, EC:3.2.1.26, previously known as Invertase_neut Pfam:PF04853.	s
PF12900	Pyridox_ox_2	Pyridoxamine 5'-phosphate oxidase	Pyridoxamine 5'-phosphate oxidase is a FMN flavoprotein that catalyses the oxidation of pyridoxamine-5-P (PMP) and pyridoxine-5-P (PNP) to pyridoxal-5-P (PLP).  This entry contains several pyridoxamine 5'-phosphate oxidases, and related proteins.	y
PF12905	Glyco_hydro_101	Endo-alpha-N-acetylgalactosaminidase	Virulence of pathogenic organisms such as the Gram-positive Streptococcus pneumoniae is largely determined by the ability to degrade host glycoproteins and to metabolise the resultant carbohydrates. This family is the enzymatic region, EC:3.2.1.97, of the cell surface proteins that specifically cleave Gal-beta-1,3-GalNAc-alpha-Ser/Thr (T-antigen, galacto-N-biose), the core 1 type O-linked glycan common to mucin glycoproteins. This reaction is exemplified by the S. pneumoniae protein Swiss:B2DRU5, where Asp764 is the catalytic nucleophile-base and Glu796 the catalytic proton donor.	s
PF12933	FTO_NTD	FTO catalytic domain	This domain is the catalytic AlkB-like domain from the FTO protein [1]. This domain catalyses a demethylase activity with a preference for 3-methylthymidine.	m
PF12942	Archaeal_AmoA	Archaeal ammonia monooxygenase subunit A (AmoA)	This is an archeael family that contains ammonia monooxygenase subunit A. Ammonia monooxygenase is an enzyme that oxidises ammonia to nitrite and nitrate, thus playing a significant role in the nitrogen cycle. Ammonia-oxidising archaea (AOA) are widespread in marine environments [1].	y
PF12996	DUF3880	DUF based on E. rectale Gene description (DUF3880)	Based on Eubacterium rectale gene EUBREC_3218.  As seen in gene expression experiments (http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14737),  It appears to be upregulated in the presence of  Bacteroides thetaiotaomicron vs when isolated in culture [1].	u
PF12999	PRKCSH-like	Glucosidase II beta subunit-like	The sequences found in this family are similar to a region found in the beta-subunit of glucosidase II (Swiss:P14314), which is also known as protein kinase C substrate 80K-H (PRKCSH). The enzyme catalyses the sequential removal of two alpha-1,3-linked glucose residues in the second step of N-linked oligosaccharide processing [1]. The beta subunit is required for the solubility and stability of the heterodimeric enzyme, and is involved in retaining the enzyme within the endoplasmic reticulum [1].	s
PF13085	Fer2_3	2Fe-2S iron-sulfur cluster binding domain	The 2Fe-2S ferredoxin family have a general core structure consisting of beta(2)-alpha-beta(2) which abeta-grasp type fold. The domain is around one hundred amino acids with four conserved cysteine residues to which the 2Fe-2S cluster is ligated.	u
PF13108	DUF3969	Protein of unknown function (DUF3969)	This family of proteins is functionally uncharacterised. This family of proteins is found in bacteria. Proteins in this family are approximately 110 amino acids in length.	u
PF13145	Rotamase_2	PPIC-type PPIASE domain		y
PF13154	DUF3991	Protein of unknown function (DUF3991)	This family of proteins is often associated with family Toprim, Pfam:PF01751.	u
PF13160	DUF3995	Protein of unknown function (DUF3995)	This family of proteins is functionally uncharacterised. This family of proteins is found in bacteria and eukaryotes. Proteins in this family are typically between 138 and 149 amino acids in length. There are two completely conserved residues (W and P) that may be functionally important.	u
PF13166	AAA_13	AAA domain	This family of domains contain a P-loop motif that is characteristic of the AAA superfamily. Many of the proteins in this family are conjugative transfer proteins. This family includes the PrrC protein that is thought to be the active component of the anticodon nuclease [1].	m
PF13173	AAA_14	AAA domain	This family of domains contain a P-loop motif that is characteristic of the AAA superfamily.	m
PF13191	AAA_16	AAA ATPase domain	This family of domains contain a P-loop motif that is characteristic of the AAA superfamily.	m
PF13199	Glyco_hydro_66	Glycosyl hydrolase family 66	This family is a set of glycosyl hydrolase enzymes including cycloisomaltooligosaccharide glucanotransferase (EC:2.4.1.-) and dextranase (EC:3.2.1.11) activities.	s
PF13203	DUF2201_N	Putative metallopeptidase domain	This domain, found in various hypothetical bacterial proteins, has no known function. However, it is related to Pfam:PF01435.	y
PF13225	DUF4033	Domain of unknown function (DUF4033)	This presumed domain is functionally uncharacterised. This domain family is found in bacteria and eukaryotes, and is approximately 80 amino acids in length.	u
PF13243	SQHop_cyclase_C	Squalene-hopene cyclase C-terminal domain	Squalene-hopene cyclase, EC:5.4.99.17, catalyses the cyclisation of squalene into hopene in bacteria.  This reaction is part of a cationic cyclisation cascade, which is homologous to a key step in cholesterol biosynthesis. This family is the C-terminal half of the molecule.	y
PF13277	YmdB	YmdB-like protein	This family of putative phosphoesterases contains the B. subtilis protein YmdB Swiss:O31775.	u
PF13284	DUF4072	Domain of unknown function (DUF4072)	This short domain is normally found at the very N-terminus of Hyrdrolases Pfam:PF00702.	u
PF13289	SIR2_2	SIR2-like domain	This family of proteins are related to the sirtuins.	y
PF13302	Acetyltransf_3	Acetyltransferase (GNAT) domain	This domain catalyses N-acetyltransferase reactions.	y
PF13304	AAA_21	AAA domain, putative AbiEii toxin, Type IV TA system	Several members are annotated as being of the abortive phage resistance system, in which case the family would be acting as the toxin for a type IV toxin-antitoxin resistance system.	m
PF13318	DUF4089	Protein of unknown function (DUF4089)	This family of proteins is functionally uncharacterised. This family of proteins is found in bacteria. Proteins in this family are approximately 60 amino acids in length.	m
PF13320	DUF4091	Domain of unknown function (DUF4091)	This presumed domain is functionally uncharacterised. This domain family is found in bacteria, archaea and eukaryotes, and is approximately 70 amino acids in length. There is a single completely conserved residue G that may be functionally important.	m
PF13333	rve_2	Integrase core domain		m
PF13336	AcetylCoA_hyd_C	Acetyl-CoA hydrolase/transferase C-terminal domain	This family contains several enzymes which take part in pathways involving acetyl-CoA. Acetyl-CoA hydrolase EC:3.1.2.1 (Swiss:P32316) catalyses the formation of acetate from acetyl-CoA, CoA transferase (CAT1) EC:2.8.3.- (Swiss:P38946) produces succinyl-CoA, and acetate-CoA transferase EC:2.8.3.8 (Swiss:Q59323) utilises acyl-CoA and acetate to form acetyl-CoA.	y
PF13344	Hydrolase_6	Haloacid dehalogenase-like hydrolase	This family is part of the HAD superfamily.	y
PF13349	DUF4097	Putative adhesin	This has a putative all-beta structure with a twenty-residue repeat with a highly conserved repeating GD, gly-asp, motif. It may form part of a bacterial adhesin.	u
PF13350	Y_phosphatase3	Tyrosine phosphatase family	This family is closely related to the Pfam:PF00102 and Pfam:PF00782 families.	m
PF13358	DDE_3	DDE superfamily endonuclease	This family of proteins are related to Pfam:PF00665 and are probably endonucleases of the DDE superfamily. Transposase proteins are necessary for efficient DNA transposition. This domain is a member of the DDE superfamily, which contain three carboxylate residues that are believed to be responsible for coordinating metal ions needed for catalysis. The catalytic activity of this enzyme involves DNA cleavage at a specific site followed by a strand transfer reaction.	m
PF13359	DDE_Tnp_4	DDE superfamily endonuclease	This family of proteins are related to Pfam:PF00665 and are probably endonucleases of the DDE superfamily. Transposase proteins are necessary for efficient DNA transposition. This domain is a member of the DDE superfamily, which contain three carboxylate residues that are believed to be responsible for coordinating metal ions needed for catalysis. The catalytic activity of this enzyme involves DNA cleavage at a specific site followed by a strand transfer reaction.	y
PF13361	UvrD_C	UvrD-like helicase C-terminal domain	This domain is found at the C-terminus of a wide variety of helicase enzymes. This domain has a AAA-like structural fold.	m
PF13367	PrsW-protease	PrsW family intramembrane metalloprotease	This family includes members such as the experimentally characterized PrsW protease from Bacillus subtilis Swiss:P50738. PrsW mediates site-1 cleavage of anti-sigma factor RsiW, and it senses antimicrobial peptides that damage the cell membrane and other agents that cause cell envelope stress. PrsW proteases, CPBP family (type II CAAX Proteases and Bacteriocin Processing enzymes), YhfC intramembrane metalloprotease, and APH-1 are distantly related. They share four predicted core transmembrane segments and possess similar, yet distinct sets of sequence motifs. The first N-terminal motif in PrsW bears the consensus signature of Ã¢â‚¬ËœEExxKÃ¢â‚¬â„¢ the second motif Ã¢â‚¬ËœFxxxEÃ¢â‚¬â„¢ and the third motif possess a conserved histidine. The fourth motif, Ã¢â‚¬ËœHxxxBÃ¢â‚¬â„¢, is shared by the PrsW proteases and the CPBP, APH-1 and the YhfC families. Site-directed mutagenesis indicates that either double point mutation of the two conserved glutamates in the first motif (E75A/E76A), or a single mutation of the conserved histidine in the fourth motif (H175A), are of functional importance.	m
PF13378	MR_MLE_C	Enolase C-terminal domain-like	This domain appears at the C-terminus of many of the proteins that carry the MR_MLE_N Pfam:PF02746 domain.  EC:4.2.1.40.	y
PF13392	HNH_3	HNH endonuclease	This is a zinc-binding loop of Fold group 7 [1] as found in endo-deoxy-ribonucleases and HNH nucleases.	m
PF13393	tRNA-synt_His	Histidyl-tRNA synthetase	This is a family of class II aminoacyl-tRNA synthetase-like and ATP phosphoribosyltransferase regulatory subunits.	y
PF13395	HNH_4	HNH endonuclease	This HNH nuclease domain is found in CRISPR-related proteins.	m
PF13401	AAA_22	AAA domain		m
PF13406	SLT_2	Transglycosylase SLT domain	This family is related to the SLT domain Pfam:PF01464.	y
PF13419	HAD_2	Haloacid dehalogenase-like hydrolase		y
